product_id,seller_id,category_id,country_id,condition_id,product_name,product_price,shipping_fee,page_number,category_id,category,condition_id,product_condition,seller_id,seller_name,seller_feedback_score,country_id,origin_country
32,17,1,1,8,Apple iPhone 12 mini 64GB / 128GB / 256GB - Unlocked/ Verizon/ AT&T/ T-Mobile,2165.58,103.27,1,1,Cell Phones & Accessories,8,Used,17,itsworthmore,43886,1,United States
33,33,1,14,8,Apple iPhone 12 mini (PRODUCT)RED - 256GB (Unlocked),3204.62,146.12,1,1,Cell Phones & Accessories,8,Used,33,anish1898,156,14,United Kingdom
34,34,1,1,2,Unlocked Apple iPhone 11 Pro Max 🍎 64GB 256GB 512GB Verizon T-Mobile Smartphone,2305.95,99.89,1,1,Cell Phones & Accessories,2,Seller refurbished,34,buyspry,214574,1,United States
35,35,1,14,8,Apple iPhone 12 Pro - 128GB - Gold (Unlocked),3804.04,155.67,1,1,Cell Phones & Accessories,8,Used,35,danberlouis,1059,14,United Kingdom
36,36,1,14,8,Apple iPhone 12  - 128GB - Pacific Blue (Unlocked) Immaculate.,2582.14,154.88,1,1,Cell Phones & Accessories,8,Used,36,thetaxicabco,877,14,United Kingdom
37,37,1,1,2,Apple iPhone 12 - Factory Unlocked GSM/CDMA Verizon AT&T T-Mobile Sprint,2586.71,120.45,1,1,Cell Phones & Accessories,2,Seller refurbished,37,take2auction1,3606,1,United States
38,38,1,1,8,Apple iPhone 12 mini 64GB - Unlocked Verizon T-Mobile AT&T + Warranty MINT B010,2168.79,112.89,1,1,Cell Phones & Accessories,8,Used,38,bbc-store,3910,1,United States
39,39,1,14,8,Apple iPhone 12 Pro Max - 256GB - Graphite (Unlocked),460.34,85.81,1,1,Cell Phones & Accessories,8,Used,39,2011stevenj1989,2908,14,United Kingdom
40,1,1,1,1,Apple iPhone 12 Pro - 128gb - GSM & CDMA Unlocked - Sealed - Factory Warranty,6011.88,193.65,1,1,Cell Phones & Accessories,1,New,1,alldayzip,32390,1,United States
41,41,1,15,1,Apple iPhone 12 Pro Max - 512GB - Gold (Unlocked) two available,2082.35,34.44,1,1,Cell Phones & Accessories,1,New,41,zieenr_0,0,15,Philippines
42,42,1,15,1,Apple iPhone 12 Pro Max - 128GB - Pacific Blue (Unlocked),1606.57,23.02,1,1,Cell Phones & Accessories,1,New,42,deberg_26,0,15,Philippines
43,43,1,1,8,Apple iPhone 12 - 64 GB Green Verizon,1665.35,135.23,1,1,Cell Phones & Accessories,8,Used,43,gener73,161,1,United States
44,44,1,5,1,Apple iPhone 12 Pro - 128GB - Graphite,2287.87,23.02,1,1,Cell Phones & Accessories,1,New,44,tecu_8599,0,5,Ukraine
45,45,1,14,8,Apple iPhone 12 mini (PRODUCT)RED - 256GB (Unlocked),943.69,135.85,1,1,Cell Phones & Accessories,8,Used,45,mark70blue,1255,14,United Kingdom
46,46,1,15,1,Apple iPhone 12 Pro Max - 256GB - Pacific Blue (Unlocked),2438.64,40.52,1,1,Cell Phones & Accessories,1,New,46,littve_66,0,15,Philippines
47,47,1,47,1,Apple iPhone 12 Pro Max - 512GB - Pacific Blue (Unlocked),2738.03,97.93,1,1,Cell Phones & Accessories,1,New,47,quintanaelec,0,47,Spain
48,45,1,14,8,Apple iPhone 12 Pro - 512GB - Gold (Unlocked),1035.76,114.03,1,1,Cell Phones & Accessories,8,Used,45,mark70blue,1255,14,United Kingdom
49,49,1,15,1,IPhone 12 Pro Max 128GB Grafito,1445.4,35.25,1,1,Cell Phones & Accessories,1,New,49,hilpais-0,0,15,Philippines
50,45,1,14,8,Apple iPhone 12 (PRODUCT)RED - 256GB (Unlocked),584.63,105.79,1,1,Cell Phones & Accessories,8,Used,45,mark70blue,1255,14,United Kingdom
51,51,1,5,1,Apple iPhone 12 Pro - 256 GB - Gold,2287.87,23.02,1,1,Cell Phones & Accessories,1,New,51,jitho-348,0,5,Ukraine
